Date,Dollar,Dubai,Brent,WTI,Oman
2012-05-29,1176.15,105.01,106.68,90.76,105.08
2012-05-30,1180.91,103.39,103.47,87.82,103.45
2012-05-31,1180.47,101.59,101.87,86.53,101.6
2012-06-01,1182.5,98.43,98.43,83.23,98.51
2012-06-04,1179.59,95.16,98.85,83.98,95.25
2012-06-05,1178.43,95.99,98.84,84.29,96.05
2012-06-06,1174.5,97.14,100.64,85.02,97.23
2012-06-07,1164.85,97.49,99.93,84.82,97.55
2012-06-08,1174.09,96.51,99.47,84.1,95.64
2012-06-11,1171.5,98.66,98,82.7,98.81
2012-06-12,1169.25,95.41,97.14,83.32,95.53
2012-06-13,1166.54,93.84,97.13,82.62,96.19
2012-06-14,1164.37,95.59,97.03,83.91,95.62
2012-06-15,1164.86,96.66,97.61,84.03,96.64
2012-06-18,1157.5,96.47,96.05,83.27,96.29
2012-06-19,1153.35,93.85,95.76,84.03,93.81
2012-06-20,1152.71,94.27,92.69,81.8,94.27
2012-06-21,1154.45,90.67,89.23,78.2,90.74
2012-06-22,1158.94,89.15,90.98,79.76,89.06
2012-06-25,1162.05,89.81,91.01,79.21,89.91
2012-06-26,1158.5,91.01,93.02,79.36,91.01
2012-06-27,1155.69,91.24,93.5,80.21,91.23
2012-06-28,1158.02,91.77,91.36,77.69,92.18
2012-06-29,1141.32,92.89,97.8,84.96,92.87
2012-07-02,1143.89,93.72,97.34,83.75,94.73
2012-07-03,1133.48,95.29,100.68,87.66,95.4
2012-07-04,1137.49,97.17,99.77,-,97.28
2012-07-05,1133.8,97.96,100.7,87.22,98.16
2012-07-06,1140.55,97.59,98.19,84.45,97.74
2012-07-09,1143.17,96.76,100.32,85.99,96.81
2012-07-10,1140.15,96.41,97.97,83.91,95.55
2012-07-11,1141,96.44,100.23,85.81,96.63
2012-07-12,1154.63,97.04,101.07,86.08,97.22
2012-07-13,1148.06,97.68,102.4,87.1,98.51
2012-07-16,1146.18,98.84,103.55,88.43,99.1
2012-07-17,1145.43,100.86,104,89.22,101.04
2012-07-18,1142.5,100.89,105.16,89.87,101.24
2012-07-19,1138.3,102.71,107.8,92.66,103.08
2012-07-20,1142.75,103.39,106.83,91.44,103.7
2012-07-23,1150.38,99.62,103.26,88.14,100.01
2012-07-24,1149.18,100.39,103.42,88.5,100.7
2012-07-25,1149.44,100.28,104.38,88.97,100.48
2012-07-26,1146.57,100.49,105.26,89.39,101.28
2012-07-27,1138.61,102.06,106.47,90.13,102.97
2012-07-30,1137.62,102.38,106.2,89.78,102.87
2012-07-31,1130.67,101.90,104.92,88.06,102.2
2012-08-01,1127.26,101.04,105.96,88.91,101.28
2012-08-02,1132.07,101.73,105.9,87.13,102.04
2012-08-03,1135,102.45,108.94,91.4,102.67
2012-08-06,1128.33,104.54,109.55,92.2,104.74
2012-08-07,1128.9,106.01,112,93.67,106.26
2012-08-08,1130.42,106.87,112.14,93.35,107.08
2012-08-09,1127.29,-,113.22,93.36,-
2012-08-10,1131.15,108.22,112.95,92.87,108.46
2012-08-13,1129.13,108.63,113.6,92.73,108.93
2012-08-14,1130.59,109.32,114.03,93.43,109.61
2012-08-15,1130.81,109.29,116.25,94.33,109.51
2012-08-16,1133.59,111.23,116.9,95.6,111.48
2012-08-17,1135.42,111.03,113.71,96.01,111.31
2012-08-20,1135.75,-,113.7,95.97,-
2012-08-21,1131.19,111.61,114.64,96.68,112.06
2012-08-22,1135.96,111.59,114.91,97.26,111.83
2012-08-23,1132.08,113.21,115.01,96.27,113.46
2012-08-24,1134.75,111.54,113.59,96.15,111.77
2012-08-27,1135.35,111.82,112.26,95.47,112.33
2012-08-28,1135.05,110.02,112.58,96.33,110.4
2012-08-29,1135.35,109.49,112.54,95.49,109.92
2012-08-30,1134.88,110.24,112.65,94.62,110.72
2012-08-31,1133.79,110.33,114.57,96.47,110.91
2012-09-03,1131.98,111.79,115.78,-,112.28
2012-09-04,1133.63,113.29,114.18,95.3,113.82
2012-09-05,1136.66,111.64,113.09,95.36,111.78
2012-09-06,1134.15,112.09,113.49,95.53,112.27
2012-09-07,1130.3,111.84,114.25,96.42,111.97
2012-09-10,1129,112.89,114.81,96.54,113.12
2012-09-11,1128.34,113.11,115.4,97.17,113.21
2012-09-12,1127.06,113.93,115.96,97.01,113.95
2012-09-13,1128.82,113.69,116.9,98.31,113.72
2012-09-14,1117.05,115.41,116.66,99,115.42
2012-09-17,1116.5,114.76,113.79,96.62,114.87
2012-09-18,1118.9,111.76,112.03,95.29,111.87
2012-09-19,1116.14,110.79,108.19,91.98,110.83
2012-09-20,1118.65,105.64,110.03,91.87,105.68
2012-09-21,1119.5,108.18,111.42,92.89,108.24
2012-09-24,1120.72,108.17,109.81,91.93,108.34
2012-09-25,1118.72,108.61,110.45,91.37,108.62
2012-09-26,1119.41,107.64,110.04,89.98,107.63
2012-09-27,1116.63,108.09,112.01,91.85,108.07
2012-09-28,1113.67,110.56,112.39,92.19,110.57
2012-10-01,1112.59,109.35,112.19,92.48,109.41
2012-10-02,1113.48,109.59,111.57,91.89,109.58
2012-10-03,1113.46,108.28,108.17,88.14,108.25
